rank,wallet,token_balance,token_balance_formatted,share_parts,share_pct,aapl_amount,aapl_amount_formatted,tx_hash,status
1,0x8a473048a5a36A33850E64a411a00F3DAE085546,36408264075321202648666979,36408264.075321202648666979,20,9.5238,7142866,0.07142866,0xec83dd95d84f6c3b46d11222bb80ce7416f415d4588936e689c18f0353006434,sent
2,0x67dF1d22c03Ce81DCd7c50a65d476B17F4934fd4,14809907224626452078015029,14809907.224626452078015029,19,9.0476,6785714,0.06785714,0xae0fbe6d7a0f1caf428b5beac5b0fb6344d6d3f2a83584ff6856fdd020569d0b,sent
3,0x5B5D906893beceBC3DE71215F8E9B5934F018055,11466294492715483052222950,11466294.49271548305222295,18,8.5714,6428571,0.06428571,0xe0a3678d037c542fc5134cca77b6522a49dc00289dd743ccd5bf721cc956afbc,sent
4,0xa502E456A3d8fA7311ed365eBD1D7DaD2584a1c8,10000000000000000000369305,10000000.000000000000369305,17,8.0952,6071428,0.06071428,0xd0361e26f0e2960de4c3d61cc0bb36a8fd03cdeb30bac929712b9353c9aea221,sent
5,0xa122C3eF0Ced83BE89922D99E8DdE8f4E272EACA,8918069895906973710695649,8918069.895906973710695649,16,7.6190,5714285,0.05714285,0x13ff2409b098e325e26444d2d1825b24533ea2ea28eb71ee7aa18fba04ad80da,sent
6,0xD2aaF7380310721Cc48bFFE41bf821a67f64561c,6850603011166563062934800,6850603.0111665630629348,15,7.1429,5357142,0.05357142,0x6a8c6a01186ee5f403884641385bf282e9436da2082c753f45d48f540130346e,sent
7,0x34EC594bB6Ef731074CFc75C4FDfbE1B689ed961,6072970251247513594297756,6072970.251247513594297756,14,6.6667,5000000,0.05,0xda630c89e83905f0e69546b852fcf934fd4dc49b9f420470c0397ba5cd41e011,sent
8,0x226BeAff3611Ea80fd8bFD04c0c2AB6fcEE1EDE0,5847695197549439423545498,5847695.197549439423545498,13,6.1905,4642857,0.04642857,0x7148f80a7a47ac8ddffe4da8bb142c1fdf8becf0a585c4b6aa155dd9b66cf6f8,sent
9,0x62C4B716ae1C7C6d4Af61A0a46858D883374D222,5339007606113331698931288,5339007.606113331698931288,12,5.7143,4285714,0.04285714,0x6bf5694c9bcbdd3aafe41f7a9c529501bad2abaffca89423bc3d919c022ab036,sent
10,0x105778eAE2172309f5Fbe99888a9aB4eD8ecbbaf,4754607392206268536083107,4754607.392206268536083107,11,5.2381,3928571,0.03928571,0xb27c866e3c3c17c7cb64f2b8ae388116c635a56f18d1f0d13cf0b6140e40b732,sent
11,0x9f613B441535AaEf5e20E8908F33CC5173849E08,4709930334311643479262431,4709930.334311643479262431,10,4.7619,3571428,0.03571428,0x02f086c7e6b9b3d32815881c94248f8957fc50d6e73dd65449fd564b83987740,sent
12,0x5E681918bD477f6Cd37962B47B8b68aDeE0a6E53,4557294822953211317619699,4557294.822953211317619699,9,4.2857,3214285,0.03214285,0x63fef8f5bb270a72ddbfe578b8c046cb86eca053965820c75239ef40d8cd9871,sent
13,0x08B3F1208A7d5F03304F769BBdA7F82BdFdD8645,4189187415515575044676919,4189187.415515575044676919,8,3.8095,2857142,0.02857142,0xbbff96a97d998d556460eda6cfa5d9b4a5bc4239c969bd4e5ab4af4e3602d095,sent
14,0xF38F9726eD65DD3bDc2994a92BeFb58bF3B915f3,4162057185778121230904492,4162057.185778121230904492,7,3.3333,2500000,0.025,0x1766209a93be2e76ce5b75b3163dcd7bef9b18abfc302aae53aeb6d5f0301a69,sent
15,0x137c2E50421E713F613274B7223291CDBe480244,4100471101258441059339857,4100471.101258441059339857,6,2.8571,2142857,0.02142857,0x1c8cf053523683c858a7eb88f8ec5a3c47e8f72812e1d7c45d4dd538c4a35e99,sent
16,0x9aE452E5bD703f0fe1aFc79776137b38024d4F2e,3976234152540199661917942,3976234.152540199661917942,5,2.3810,1785714,0.01785714,0x6696e430e0652b6014ca976562e8146d8dd133e72319c75e49c638406a8f8852,sent
17,0x60E2809A42790565F58557bF114D85157Da41602,3525093619270382560295594,3525093.619270382560295594,4,1.9048,1428571,0.01428571,0xf217c7e06c5b6a90e80422d00a0b4558bc0f3ad24f41046b8950cfa8589dc334,sent
18,0x07F204F9A0007Bdb6F17e453bB1c2509d5A988C5,3485646071317553666209418,3485646.071317553666209418,3,1.4286,1071428,0.01071428,0xe35075a0c5eb42876a4836cb903e7de32d501d04d394133c1006d8d72f768322,sent
19,0x654022208D13C70A91fAa424E0B74a8de88d36e6,3325091860430440699517354,3325091.860430440699517354,2,0.9524,714285,0.00714285,0x0aa3d50fb33bfb9f83985a34fa44d8003bc6705e66d85c203f4940a8b9a79676,sent
20,0x54297E57a78Fc2D68B7734fB21ec2a1c29cc8806,2951117722445810973169673,2951117.722445810973169673,1,0.4762,357142,0.00357142,0x04e9efebb384986725294acbc492c4f31a2ddeb51bd4352563c79723ce2cbee2,sent
