rank,wallet,token_balance,token_balance_formatted,share_parts,share_pct,aapl_amount,aapl_amount_formatted,tx_hash,status
1,0x8a473048a5a36A33850E64a411a00F3DAE085546,36408264075321202648666979,36408264.075321202648666979,20,9.5238,5779600,0.057796,0x07da2cbf355745c62616f5052484fa506497589e92e0f9e6c90629bc85cba9e4,sent
2,0xF703FD64093B50797aBDc9E450632240FA2bA5D4,19506532438120552931189611,19506532.438120552931189611,19,9.0476,5490611,0.05490611,0x0ff6e36b328fa2b223a02882f36602d3d8c1380c0d007f4e186f43b2477db533,sent
3,0x5B5D906893beceBC3DE71215F8E9B5934F018055,14900967501904461406397594,14900967.501904461406397594,18,8.5714,5201632,0.05201632,0x8fe783cf73185e41f023d2112a2f649ee8bca5d7756924a9b6db787e833aa3be,sent
4,0x396bADe845dC6418848bB3f0A0b960AD8771F603,11122835389823890488107717,11122835.389823890488107717,17,8.0952,4912652,0.04912652,0x1df44167ac53c9f591007c3485138c4530b80597da9662f699c3eaae72579978,sent
5,0x9f613B441535AaEf5e20E8908F33CC5173849E08,9057558335214698998581598,9057558.335214698998581598,16,7.6190,4623672,0.04623672,0x187da07de785ce65060b38bcc1d359c4ba7e32653024d6108de1ec8c2a918029,sent
6,0x6aD7d0514BB126157644b1d58427dA0D9a6f25aA,8937581816405985064877093,8937581.816405985064877093,15,7.1429,4334693,0.04334693,0x02ad848e2b6c1a20bd6d0a51621b7f280082ffe5be2fa45b83a4a9890a6ffeeb,sent
7,0xeb6A36195E5b127846130e14B461C7ca83e19fB0,8200150204685016265198257,8200150.204685016265198257,14,6.6667,4045713,0.04045713,0x936d436415475e4e74e1e741064569f525e4d2a7b9bbb121a334b571a0dbaf77,sent
8,0xCebEec4Bd611be4966F641a61c4f018F34075722,5836096638731573179050144,5836096.638731573179050144,13,6.1905,3756734,0.03756734,0x2dd3935df6f640af21644b8a5f103ed935c8715b0e7daf22f210f0344a86960b,sent
9,0x3E18C523Ea9CADEBBFF042D41bCfD38Ba50B25ec,5763857213646979712347449,5763857.213646979712347449,12,5.7143,3467754,0.03467754,0xdda3425aa6ea8ae34614d6844ccdee7da1abfd338a98345d22cd36a18b2ccfa8,sent
10,0xf9C1B398cC1cC245509f0e36d513c9d984bA5527,5659638039200411486133623,5659638.039200411486133623,11,5.2381,3178775,0.03178775,0xdd01ee32277d5a775cf26a718d1af1013a6581b95512955314009d97bf047b81,sent
11,0x08B3F1208A7d5F03304F769BBdA7F82BdFdD8645,5585583220687433392902558,5585583.220687433392902558,10,4.7619,2889795,0.02889795,0x1270b3ede213e341ba675e18503ead3242f9d07f43d46a8ecd3a3c25e2c52e0a,sent
12,0xa122C3eF0Ced83BE89922D99E8DdE8f4E272EACA,5449718119405137015414844,5449718.119405137015414844,9,4.2857,2600816,0.02600816,0x12d030738682722ec4a6e4f4ade0895862137670f902ce73134f4d9a728a18fe,sent
13,0x0EAAD6FA0e8ED62B8AF26A4A172bc301310E1C9E,5126716550398205119279613,5126716.550398205119279613,8,3.8095,2311836,0.02311836,0xb1f61dd5c9df282a473df652f0f053d6aeaef0b6215f7554a6e82c1a4040080d,sent
14,0x654022208D13C70A91fAa424E0B74a8de88d36e6,4683674019106999765644049,4683674.019106999765644049,7,3.3333,2022856,0.02022856,0x7b7de4775ca390139a567f2d1d9fa569622db1f20f635d93dbca45c755240c61,sent
15,0x5E681918bD477f6Cd37962B47B8b68aDeE0a6E53,4041409311044821763496602,4041409.311044821763496602,6,2.8571,1733877,0.01733877,0xeaf26e43e2ad691582edc0040cce5d0bbe55f56bb9248fbaeb254696ae1e966f,sent
16,0x3363544430C0426618d4822DB520554cd0e03bb3,3934036878131518390418752,3934036.878131518390418752,5,2.3810,1444897,0.01444897,0xb49cf5239436409b85a464d14341ec75b5fc3d150848bc9bf2a9dfb2dafef77e,sent
17,0x226BeAff3611Ea80fd8bFD04c0c2AB6fcEE1EDE0,3717161766953082705418687,3717161.766953082705418687,4,1.9048,1155918,0.01155918,0x0efd55c10cd7120eeb5fa43a67f02c990529423ff7c992a8a76d2a4d196a9e8a,sent
18,0xF38F9726eD65DD3bDc2994a92BeFb58bF3B915f3,3329760339963989642049062,3329760.339963989642049062,3,1.4286,866938,0.00866938,0xe1437c1d61b24635c4884b31a1d2ac0cb898d53363958713e76cfffceb6baf25,sent
19,0x651Ba267e34C3e9d56BE757366b9C052a43AB428,3228561391222620925460480,3228561.39122262092546048,2,0.9524,577959,0.00577959,0x7c12500a990ef12e42dc69ef5c149100e331bbe43734eca1c3e128eb9a78ce23,sent
20,0x1111110f0f73C0b2eF09eC012Eae758b3E03A902,2759777486811504565028999,2759777.486811504565028999,1,0.4762,288979,0.00288979,0xf97c9f938567e6e2d346902c0a17bb278fe08212c8a8dee805c2d0a193e439fa,sent
